Molar volume,Density
26.37929429,5.254
25.84796945,5.362
26.51048435,5.228
25.73756958,5.385
25.40264153,5.456
24.93196838,5.559
26.61229113,5.208
26.69430127,5.192
26.43463899,5.243
26.49528048,5.231
25.3706195,5.56
25.01962476,5.638
25.90645444,5.445
30.6054772,4.609
25.53596025,5.524
24.55791163,5.744
28.71171268,4.913
26.72615468,5.278
25.96367465,5.433
27.37978346,5.152
26.42689681,5.431
26.28653418,5.46
26.30580583,5.456
26.15241921,5.488
26.92766916,5.33
25.87891753,5.546
26.77195982,5.361
26.89235087,5.337
26.4074474,5.435
28.52235227,5.032
26.73778549,5.46
29.06975484,5.022
26.59652192,5.489
27.70176638,5.27
22.77864079,6.409
27.67026323,5.276
27.34887763,5.338
27.00486659,5.406
29.81178452,4.897
26.2238744,5.567
26.01229035,5.707
27.7118053,5.357
27.09475105,5.479
25.2856653,5.871
28.06278658,5.29
27.72733302,5.354
28.27659829,5.25
26.15435888,5.676
27.73769451,5.352
26.77708171,5.544
